"Date","week.number","Species","Type","Alive","Latitude","Longitude"
"2010-06-08",24,"Lepidochelys kempii","turtles","N",29.25987,-89.99575
"2010-06-09",24,"Lepidochelys kempii","turtles","N",29.43308,-89.88585
"2010-06-10",24,"Unknown","turtles","N",29.10932,-90.1799
"2010-06-13",24,"Lepidochelys kempii","turtles","N",29.13323,-90.14178
"2010-06-14",25,"Lepidochelys kempii","turtles","N",30.22408,-89.83395
"2010-06-17",25,"Caretta caretta","turtles","N",29.0394,-90.91158
"2010-06-17",25,"Chelonia mydas","turtles","N",29.16667,-90.5
"2010-06-18",25,"Chelonia mydas","turtles","N",29.15441,-90.23783
"2010-06-18",25,"Lepidochelys kempii","turtles","N",29.15575,-90.49995
"2010-06-19",25,"Lepidochelys kempii","turtles","N",30.0898,-89.6424
"2010-06-21",26,"Caretta caretta","turtles","N",29.13705,-90.61867
"2010-06-24",26,"Lepidochelys kempii","turtles","N",29.22462,-90.66272
"2010-06-25",26,"Chelonia mydas","turtles","N",29.09139,-90.22365
"2010-06-26",26,"Lepidochelys kempii","turtles","N",29.06263,-90.94988
"2010-06-26",26,"Lepidochelys kempii","turtles","N",29.0624,-90.94663
"2010-06-27",26,"Lepidochelys kempii","turtles","Y",29.01988,-90.11865
"2010-06-27",26,"Lepidochelys kempii","turtles","N",29.19899,-90.04115
"2010-06-27",26,"Chelonia mydas","turtles","N",29.22781,-90.00005
"2010-07-04",27,"Lepidochelys kempii","turtles","Y",30.15705,-89.6381
"2010-07-04",27,"Lepidochelys kempii","turtles","N",29.09935,-90.26038
"2010-07-10",28,"Lepidochelys kempii","turtles","N",29.46985,-89.91005
"2010-07-12",29,"Lepidochelys kempii","turtles","Y",29.46278,-89.95111
"2010-07-17",29,"Lepidochelys kempii","turtles","N",29.75189,-93.64085
"2010-07-20",30,"Chelonia mydas","turtles","N",29.10122,-90.19025
"2010-07-29",31,"Lepidochelys kempii","turtles","N",29.76925,-93.457733
"2010-07-31",31,"Lepidochelys kempii","turtles","N",29.83703,-89.64799
"2010-08-01",31,"Lepidochelys kempii","turtles","N",29.115,-90.21
